Spectacle	Choreography	Decor	Costumes	Lightning	Music	Original cast	premiere date	First perf Location	place	coordinate location	Duration	Capsule (Y/N)
Aeon	Merce Cunningham	Robert Rauschenberg	Robert Rauschenberg		John Cage	Shareen Blair	05/08/61	Theatre la Comédie Canadienne	Montreal	45.508888888889,-73.561666666667	00:45:00	Y
						Carolyn Brown						
						Remy Charlip						
						Merce Cunningham						
						Judith Dunn						
						Viola Farber						
						Steve Paxton						
						Valda Setterfield						
						Marilyn Wood						
Field Dances	Merce Cunningham		Robert Rauschenberg	Beverly Emmons	John Cage	Shareen Blair	17/07/63	University of California	Los Angeles	34.05223,-118.24368	00:12:00	Y
						Carolyn Brown						
						Merce Cunningham						
						Viola Farber						
Story	Merce Cunningham	Robert Rauschenberg	Robert Rauschenberg		Toshi Ichiyanagi	Shareen Blair	24/07/63	University of California	Los Angeles	34.05223,-118.24368	00:27:00	Y
						Carolyn Brown						
						Merce Cunningham						
						William Davies						
						Viola Farber						
						Barbara Lloyd						
						Steve Paxton						
Open Session 	Merce Cunningham		Merce Cunningham			Merce Cunningham	19/03/64	Wadsworth Atheneum	Hartford	41.763333333333,-72.685	00:07:00	N
Paired	Merce Cunningham		Robert Rauschenberg		John Cage	Carolyn Brown	21/03/64	Wadsworth Atheneum	Hartford	41.763333333333,-72.685		N
						Shareen Blair						
						Merce Cunningham						
						William Davies						
						Viola Farber						
						Deborah Hay						
						Barbara Lloyd						
						Sandra Neels						
Winterbranch	Merce Cunningham	Robert Rauschenberg	Robert Rauschenberg	Robert Rauschenberg	La Monte Young	Carolyn Brown	21/03/64	Wadsworth Atheneum	Hartford	41.763333333333,-72.685	00:23:00	Y
						Merce Cunningham						
						William Davies						
						Viola Farber						
						Barbara Lloyd						
						Steve Paxton						
Museum Event No. 1 (Events)	Merce Cunningham				John Cage	Merce Cunningham	24/06/64	Museum des 20 Jahrhunderts	Vienna	48.20833,16.373064	01:15:00	Y
						Shareen Blair						
						Carolyn Brown						
						William Davies						
						Viola Farber						
						Deborah Hay						
						Barbara Lloyd						
						Sandra Neels						
						Steve Paxton						
						Albert Reid						
Cross Currents	Merce Cunningham		Merce Cunningham	Robert Rauschenberg	Conlon Nancarrow	Carolyn Brown	31/07/64	Sadler's Wells Theatre	London	51.507222222222,-0.1275	00:07:00	Y
						Merce Cunningham						
						Viola Farber						
Variations V	Merce Cunningham	Nam June Paik		Beverly Emmons	John Cage	Carolyn Brown	23/07/65	Philharmonic Hall, Lincoln Center	New York City	40.67,-73.94	00:45:00	Y
		Stan VanDerBeek				Merce Cunningham						
						Viola Farber						
						Barbara Lloyd						
						Sandra Neels						
						Albert Reid						
						Peter Saul						
						Gus Solomons jr						
How to Pass, Kick, Fall and Run	Merce Cunningham			Beverly Emmons	John Cage	Carolyn Brown	24/11/65	Harper Theater	Chicago	41.881944444444,-87.627777777778	00:23:00	Y
						Merce Cunningham						
						Meg Harper						
						Barbara Lloyd						
						Sandra Neels						
						Albert Reid						
						Peter Saul						
						Valda Setterfield						
						Gus Solomons jr						
Place	Merce Cunningham	Beverly Emmons			Gordon Mumma	Carolyn Brown	06/08/66	Fondation Maeght	Saint-Paul-de-Vence	43.696388888889,7.1222222222222		Y
						Merce Cunningham						
						Barbara Lloyd						
						Sandra Neels						
						Albert Reid						
						Peter Saul						
						Valda Setterfield						
						Gus Solomons jr						
Scramble	Merce Cunningham	Frank Stella	Frank Stella	Beverly Emmons	Toshi Ichiyanagi	Carolyn Brown	25/07/67	Ravinia Festival	Chicago	41.881944444444,-87.627777777778	00:23:00	Y
						Merce Cunningham						
						Barbara Lloyd						
						Sandra Neels						
						Albert Reid						
						Yseult Riopelle						
						Valda Setterfield						
						Gus Solomons jr						
RainForest	Merce Cunningham	Andy Warhol	Jasper Johns		David Tudor	Carolyn Brown	03/09/68	Buffalo State College, State University of New York	Buffalo	42.904722222222,-78.849444444444	00:18:00	Y
						Merce Cunningham						
						Barbara Lloyd						
						Sandra Neels						
						Albert Reid						
						Gus Solomons jr						
Walkaround Time	Merce Cunningham	Marcel Duchamp	Jasper Johns	Beverly Emmons	David Behrman	Carolyn Brown	10/03/68	State University of New York	Buffalo	42.904722222222,-78.849444444444	00:50:00	Y
		Jasper Johns				Merce Cunningham						
						Meg Harper						
						Barbara Lloyd						
						Sandra Neels						
						Albert Reid						
						Valda Setterfield						
						Gus Solomons jr						
Assemblage	Merce Cunningham				John Cage	Carolyn Brown	03/11/68	KQED - TV	San Francisco	37.766667,-122.433333	00:59:00	N
					David Tudor	Merce Cunningham						
					Gordon Mumma	Meg Harper						
						Susana Hayman-Chaffey						
						Sandra Neels						
						Chase Robinson						
						Valda Setterfield						
						Jeff Slayton						
						Mel Wong						
Canfield	Merce Cunningham	Robert Morris	Jasper Johns		Pauline Oliveros	Carolyn Brown	04/03/69	Nazareth College	Rochester	43.165555555556,-77.611388888889	00:20:00	Y
						Merce Cunningham						
						Meg Harper						
						Susana Hayman-Chaffey						
						Sandra Neels						
						Chase Robinson						
						Valda Setterfield						
						Jeff Slayton						
						Mel Wong						
Tread	Merce Cunningham	Bruce Nauman	Merce Cunningham	Richard Nelson	Christian Wolff	Carolyn Brown	05/01/70	Brooklyn Academy of Music	New York City	40.67,-73.94	00:20:00	Y
						Merce Cunningham						
						Douglas Dunn						
						Meg Harper						
						Susana Hayman-Chaffey						
						Sandra Neels						
						Chase Robinson						
						Valda Setterfield						
						Jeff Slayton						
						Mel Wong						
Second Hand	Merce Cunningham		Jasper Johns	Richard Nelson	John Cage	Carolyn Brown	08/01/70	Brooklyn Academy of Music	New York City	40.67,-73.94	00:30:00	Y
						Merce Cunningham						
						Douglas Dunn						
						Meg Harper						
						Susana Hayman-Chaffey						
						Sandra Neels						
						Chase Robinson						
						Valda Setterfield						
						Jeff Slayton						
						Mel Wong						
Signals	Merce Cunningham		Merce Cunningham	Richard Nelson	John Cage	Louise Burns	05/06/70	Théâtre de France	Paris	48.856577777778,2.3518277777778	00:20:00	Y
					Gordon Mumma	Merce Cunningham						
					David Tudor	Douglas Dunn						
						Susana Hayman-Chaffey						
						Valda Setterfield						
						Mel Wong						
Objects	Merce Cunningham	Neil Jenney			Alvin Lucier	Carolyn Brown	10/11/70	Brooklyn Academy of Music	New York City	40.67,-73.94	00:32:00	N
						Louise Burns						
						Merce Cunningham						
						Ulysses Dove						
						Douglas Dunn						
						Meg Harper						
						Susana Hayman-Chaffey						
						Sandra Neels						
						Chase Robinson						
Loops 	Merce Cunningham				Gordon Mumma	Merce Cunningham	03/11/71	Museum of Modern Art	New York City	40.67,-73.94	00:07:00	N
Landrover	Merce Cunningham		Jasper Johns	Richard Nelson	Gordon Mumma	Carolyn Brown	01/02/72	Brooklyn Academy of Music	New York City	40.67,-73.94	00:52:00	Y
					David Tudor	Merce Cunningham						
					John Cage	Ulysses Dove						
						Douglas Dunn						
						Meg Harper						
						Nanette Hassall						
						Susana Hayman-Chaffey						
						Chris Komar						
						Sandra Neels						
						Chase Robinson						
						Valda Setterfield						
TV Rerun	Merce Cunningham	Jasper Johns	Jasper Johns	Richard Nelson	Gordon Mumma	Carolyn Brown	02/02/72	Brooklyn Academy of Music	New York City	40.67,-73.94	00:27:00	Y
						Merce Cunningham						
						Ulysses Dove						
						Douglas Dunn						
						Meg Harper						
						Nanette Hassall						
						Chris Komar						
						Sandra Neels						
						Valda Setterfield						
Borst Park	Merce Cunningham				Christian Wolff	Merce Cunningham	08/02/72	Brooklyn Academy of Music	New York City	40.67,-73.94	00:32:00	N
						Ulysses Dove						
						Meg Harper						
						Nanette Hassall						
						Chris Komar						
						Sandra Neels						
Changing Steps	Merce Cunningham		Charles Atlas	Charles Atlas	John Cage	Douglas Dunn	22/03/73	Brooklyn Academy of Music	New York City	40.67,-73.94	00:30:00	Y
						Meg Harper						
						Susana Hayman-Chaffey						
						Chris Komar						
						Robert Kovich						
						Barbara Lias						
